,source,sink,reactance,limit
332,n_7091,n_7092,3625.9078366746076,6299.27
333,n_7092,n_1924,43.396488677270256,4722.49
334,n_7555,n_22779,1898.0050069372082,6039.34
335,n_7557,n_29872,70.81334508646026,4875.45
336,n_7557,n_29874,70.69655405907446,4874.93
337,n_7557,n_1514,22.20890773526929,9041.470000000001
338,n_7559,n_18705,63.880509717918365,4842.86
339,n_7566,n_28767,85.25749554060671,4934.73
340,n_7587,n_19221,554.9041597280526,5574.69
341,n_7587,n_19223,148.92777955829212,5117.21
342,n_7588,n_22813,7832.018859501413,6623.14
343,n_7589,n_28767,110.60837148308241,5019.07
344,n_7590,n_19223,2105.360669336264,6080.24
345,n_7590,n_22813,145.80473130520895,5110.15
346,n_7591,n_19221,6777.547341168178,6561.08
347,n_7597,n_22818,9052.723059096177,6685.88
348,n_7599,n_22815,22831.050228310505,7100.4
349,n_7600,n_22816,3991.235247396716,6338.76
350,n_7601,n_22817,515.0537329806932,5547.71
351,n_7601,n_22814,179.5713524075221,5179.92
352,n_7602,n_22814,345.34476977072904,5405.21
353,n_7602,n_22815,235.09928948292733,5271.58
354,n_7608,n_7607,204.62082941825483,5224.14
355,n_7618,n_6897,25.296445887297505,4559.44
356,n_7619,n_22867,44.56792135615907,4730.68
357,n_7619,n_22868,168.7397469511259,5158.98
358,n_7699,n_22867,492.0494647485922,5531.24
359,n_7699,n_23766,85.03790394492538,4933.9
360,n_7699,n_9885,106.35181990297735,5006.26
361,n_7701,n_22868,834.2969463063172,1506.98
362,n_7702,n_7703,362.6917823472106,5422.48
363,n_7702,n_22868,247.54270544868723,5289.31
364,n_7703,n_9823,105.14955210496784,5002.56
365,n_7798,n_13721,58.504819246728225,1267.58
366,n_9413,n_28669,12.265949733352972,4349.57
367,n_9413,n_9441,60.98624144294423,4828.26
368,n_9414,n_28704,111.59030467724068,6192.59
369,n_9418,n_9419,799.4154674102297,1502.8
370,n_9418,n_17163,57.84368796083705,4811.66
371,n_9419,n_6664,15.360020919119691,4413.74
372,n_9419,n_9836,22.179078493000816,4520.57
373,n_9419,n_9872,67.83789240150482,4861.85
374,n_9439,n_9440,92.88404207572799,4962.33
375,n_9440,n_9479,19.227058038816622,4478.73
376,n_9440,n_23586,263.9339996083219,10615.92
377,n_9440,n_23773,129.8912161065108,5071.85
378,n_9440,n_23772,75.53204394091763,4895.97
379,n_9440,n_9484,6.4945616910913815,4173.2
380,n_9441,n_9439,15.730646035609777,4420.59
381,n_9454,n_23779,24691.358024691355,7137.4
382,n_9455,n_23584,188.26017103813058,5195.88
383,n_9455,n_23583,286.3763879231641,5339.73
384,n_9456,n_23780,1194.1481961794423,5859.8816560000005
385,n_9457,n_28947,83.27817542181228,9639.59
386,n_9457,n_23582,196.66638674484287,5210.68
387,n_9457,n_23583,203.1141048324705,5221.63
388,n_9458,n_23584,961.2038886464519,5777.68
389,n_9458,n_23585,3408.0375156769724,12270.77
390,n_9477,n_23596,44.19672670202699,4728.11
391,n_9479,n_23781,77.51283031123727,4904.23
392,n_9480,n_23781,214.30976290268,5239.9
393,n_9480,n_9867,503.8857146888229,5539.8
394,n_9480,n_12417,886.0739304644623,1512.9
395,n_9480,n_23599,109.69705512770658,6186.07
396,n_9480,n_9484,12.870484622139045,4363.22
397,n_9483,n_23781,238.48180574607602,5276.48
398,n_9484,n_9873,190.20823236446333,5199.36
399,n_9484,n_23600,21.75825168096093,4514.94
400,n_9487,n_18868,118.08678623032496,1326.88
401,n_9487,n_31010,6381.661657062266,6535.42
402,n_9488,n_23600,167.07583538753073,5155.66
403,n_9505,n_9506,10405.82726326743,8213.369999999999
404,n_9505,n_28953,32.29979063598708,4632.56
405,n_9505,n_9507,170.5384581276924,1359.01
406,n_9506,n_18869,107.33562809750498,1318.66
407,n_9506,n_28954,66.1993083761058,4854.11
408,n_9508,n_23786,251.3491795585755,5294.57
